DCA	Removing	Predicted-label	Prob-class0	Prob-class1
All	NA	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0016787	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0016787	False	0	0.5833209165797427	0.41667908342025733
http://purl.obolibrary.org/obo/GO_0031146	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0031146	False	1	0.10636407342657343	0.8936359265734265
http://purl.obolibrary.org/obo/GO_0038095	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0038095	False	1	0.0334420429692269	0.9665579570307732
http://purl.obolibrary.org/obo/GO_0016032	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0016032	False	1	0.48	0.52
http://purl.obolibrary.org/obo/GO_0006521	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0006521	False	0	0.5	0.5
http://purl.obolibrary.org/obo/GO_0005515	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0005515	False	0	0.8865125551831547	0.11348744481684507
http://purl.obolibrary.org/obo/GO_1902036	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_1902036	False	1	0.17238944245309212	0.827610557546908
http://purl.obolibrary.org/obo/GO_0060071	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0060071	False	1	0.40538366445916113	0.5946163355408389
http://purl.obolibrary.org/obo/GO_0043687	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0043687	False	1	0.48517451129728356	0.5148254887027164
http://purl.obolibrary.org/obo/GO_0005634	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0005634	False	0	0.5033333333333333	0.49666666666666665
http://purl.obolibrary.org/obo/GO_0055085	True	1	0.01	0.99
http://purl.obolibrary.org/obo/GO_0055085	False	0	0.5764738805970149	0.42352611940298507
http://purl.obolibrary.org/obo/GO_0050852	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0050852	False	1	0.14598251366120218	0.8540174863387978
http://purl.obolibrary.org/obo/GO_0043488	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0043488	False	0	0.55	0.45
http://purl.obolibrary.org/obo/GO_0090090	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0090090	False	1	0.45293706293706293	0.5470629370629371
http://purl.obolibrary.org/obo/GO_0005654	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0005654	False	0	0.9	0.1
http://purl.obolibrary.org/obo/GO_0061418	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0061418	False	1	0.08552996649084989	0.9144700335091501
http://purl.obolibrary.org/obo/GO_0000932	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0000932	False	1	0.012891986062717771	0.9871080139372822
http://purl.obolibrary.org/obo/GO_0090263	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0090263	False	1	0.42	0.58
http://purl.obolibrary.org/obo/GO_0016579	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0016579	False	0	0.61	0.39
http://purl.obolibrary.org/obo/GO_0010972	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0010972	False	1	0.3711139332574372	0.6288860667425628
http://purl.obolibrary.org/obo/GO_0033209	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0033209	False	1	0.19304659498207882	0.8069534050179211
http://purl.obolibrary.org/obo/GO_0000165	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0000165	False	0	0.55	0.45
http://purl.obolibrary.org/obo/GO_0000209	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0000209	False	1	0.4156776094276094	0.5843223905723905
http://purl.obolibrary.org/obo/GO_0002223	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0002223	False	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0005829	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0005829	False	0	0.99	0.01
http://purl.obolibrary.org/obo/GO_0038061	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0038061	False	1	0.28	0.72
http://purl.obolibrary.org/obo/GO_0002479	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0002479	False	1	0.02	0.98
http://purl.obolibrary.org/obo/GO_0070498	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0070498	False	1	0.0904611589097183	0.9095388410902817
http://purl.obolibrary.org/obo/GO_0031145	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0031145	False	1	0.21417263232626904	0.785827367673731
http://purl.obolibrary.org/obo/GO_0000502	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0000502	False	1	0.20304659498207883	0.7969534050179212
